id,Sys,Num,Description,lat,lon,name,City,Overall Rank,K,A,B,C,PD,TOT,CR
1,MNTH,15,S JCT TH 23 2ND STS STCLOUD,45.54970032,-94.20536041,MN15 and 2nd St S (Hwy 23),St. Cloud,1,1,2,13,63,172,251,2.72
2,ISTH,94,SNELLING AV NRAMPS,44.95204348,-93.16708803,Snelling Ave Ramps (North) on I94,St. Paul,2,3,2,10,40,167,222,2.29
3,MNTH,55,E 26TH STMSAS239MPLS,44.9555816,-93.24315548,MN55 and E 26th St,Minneapolis,3,2,2,17,42,77,140,1.68
4,MNTH,252,66TH AV MSAS 111 M231 BRK CNTR,45.07455103,-93.28688622,MN252 and 66th Ave N,Brooklyn Center,4,1,0,12,43,116,172,1.33
5,USTH,169,CSAH 81 BROOKPK,45.10610624,-93.39323044,US69 and County Rd 81,Brooklyn Park,5,1,0,21,37,54,113,0.81
6,ISTH,94,TH 55 OLSON MEM W RAMPS,44.98434925,-93.28871012,I94 and MN55 Olsen Memorial Parkway (West Ramps),Minneapolis,6,0,2,17,42,52,113,1.6
7,MNTH,15,N JCT TH 23 DIV ST ST CLOUD,45.55336669,-94.20512438,MN15 and MN23 (Division St),St. Cloud,7,0,3,5,44,100,152,1.38
8,MNTH,65,221ST AV NE CR74 EBETHEL,45.37062948,-93.23663235,MN65 and County Rd 74 (221st Ave NE),East Bethel,8,2,8,8,4,7,29,0.6
9,MNTH,210,TH 371 BAXTER,46.35180055,-94.24437046,MN210 and MN371,Baxter,9,0,0,10,41,83,134,2.04
10,MNTH,7,AQUILLA AVE LTBLAKE RDRT,44.93559516,-93.385849,MN7 and Aquila Ave S and Blake Rd N,St. Louis Park,10,0,0,2,55,67,124,1.29
11,MNTH,15,3RD ST N CSAH81 MSAS 114 STC,45.55867049,-94.20596123,MN15 and 3rd St N,St. Cloud,11,0,2,9,33,84,128,1.61
12,MNTH,36,TH 120 RAMSEY WASHCO LN,45.01990175,-92.98477829,MN36 and MN120,Oakdale,12,2,0,9,25,75,111,1.36
13,USTH,52,CSAH 9,44.39946367,-92.84412861,US52 and County Rd 9,Leon,13,2,5,10,8,17,42,1.27
14,MNTH,51,CR C CSAH23 ROSEVILLE,45.02103551,-93.16695929,MN51 and W County Rd C (City Centre Dr),Roseville,14,1,0,8,31,94,134,1.66
15,MNTH,252,85TH AV CSAH 109 MSAS140 BRPK,45.10877165,-93.30130577,MN252 and County Rd 109 (85th Ave S),Brooklyn Park,15,0,2,7,37,57,103,0.86
16,MNTH,101,CSAH49 RTM49LT DIAMONDLKRD,45.19954841,-93.55256438,MN101 and Diamond Lake Rd,Rogers,16,0,4,6,27,74,111,1.23
17,USTH,169,93RD AV NCSAH30 BROOKPARK,45.12328915,-93.38908374,US169 and 93rd Ave N (County Road 30),Brooklyn Park,17,1,0,10,32,48,91,0.75
18,MNTH,252,HUMBOLDT AV LT81STAV RT BPK,45.10094165,-93.30010414,MN252 and N Humboldt Ave and 81st Ave N,Brooklyn Park,18,1,1,16,18,28,64,0.6
19,MNTH,36,LAKE ELMOAV CSAH 17 LAKE ELMO,45.03588237,-92.88348198,MN36 and Lake Elmo Ave N,Lake Elmo,19,1,0,11,24,58,94,1.25
20,USTH,169,HIGHWOOD DR RT TO W78THSTLT,44.85988437,-93.39421749,US169 and W 78th St (Under Construction),Bloomington,20,1,0,3,31,87,122,0.88
21,MNTH,47,BROADWAY ST ECSAH 66 MPLS,44.9987049,-93.26327205,MN47 (University Ave) and Broadway St NE,Minneapolis,21,0,0,10,30,81,121,2.08
22,MNTH,65,CLOVERLF PKWYLT 93RD LNRT BL,45.14002038,-93.2353127,MN65(Central Ave NE) and Clover Leaf Pkwy NE (93rd Ln NE),Blaine,21,1,1,6,27,45,80,0.68
